Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Failure_Type
L,297.4,308.6,1459,41.3,196,0
L,295.6,306.2,1428,44.5,51,0
L,301.2,310.9,1416,53.3,66,0
L,302.4,310.6,1445,40.3,162,0
M,298.0,307.5,1387,45.5,166,0
M,300.0,311.4,1537,35.4,120,0
L,299.1,310.6,1326,49.7,78,0
L,300.1,310.1,1569,43.5,17,0
L,302.5,311.4,1559,37.6,209,0
H,302.2,311.6,1357,44.2,142,0
L,300.1,309.2,1421,42.5,61,0
M,300.8,311.4,1852,22.2,53,0
M,296.9,307.8,1840,24.6,157,0
M,299.1,308.9,1397,52.4,112,0
L,299.0,310.2,1377,62.5,92,3
L,297.6,308.6,1491,38.1,152,0
H,297.7,309.3,1400,48.9,147,0
L,299.0,309.9,1411,44.7,94,0
L,296.6,307.4,1389,42.7,48,0
L,298.2,307.8,1749,26.1,66,0
L,297.4,308.6,1439,51.9,188,0
L,302.3,310.9,1377,46.8,166,2
L,300.2,311.4,1433,37.9,36,0
M,298.8,309.1,1368,49.1,117,0
L,302.1,311.0,1586,35.1,142,0
M,303.7,312.9,1566,32.6,9,0
M,300.9,309.7,1394,48.8,192,0
H,297.7,309.7,1440,51.1,191,0
L,299.0,310.2,1477,37.9,60,0
M,301.1,311.2,1591,35.0,208,0
L,304.1,313.3,1415,50.0,184,0
L,301.2,309.9,1984,19.7,169,0
M,304.0,313.1,1466,39.5,83,0
L,299.3,308.6,1314,48.2,65,0
M,297.3,308.1,1369,52.0,214,0
M,298.4,309.3,1496,45.6,129,0
L,300.6,310.7,1397,53.7,80,0
L,300.7,310.2,1696,27.5,73,0
M,300.4,309.8,1517,40.3,149,0
H,296.4,307.5,1403,52.8,94,0
L,300.3,311.8,1746,26.3,187,0
L,300.7,311.0,1496,38.3,99,0
L,303.3,311.3,1393,47.4,18,0
M,297.3,308.3,1301,39.6,5,0
L,298.3,309.4,1468,46.2,10,0
L,299.2,310.3,1610,33.3,233,0
L,302.3,311.3,1682,34.4,127,0
L,299.8,309.6,1374,51.6,137,0
L,304.0,312.9,1363,62.5,200,4
L,301.3,310.6,1556,39.0,72,0
H,299.7,309.2,1468,49.6,132,0
L,302.6,310.4,1478,47.7,189,0
M,301.5,310.7,1336,65.6,0,3
M,300.7,310.6,2006,19.1,102,0
L,299.1,310.3,1449,40.7,40,0
L,301.0,311.5,1559,31.8,195,0
H,297.6,309.0,1354,55.6,46,0
L,300.7,310.7,1333,61.0,177,0
H,299.9,310.1,1447,51.4,185,0
L,297.1,308.5,1578,35.6,46,0
H,298.8,308.8,1445,49.9,4,0
H,298.0,307.6,1593,32.2,118,0
L,300.4,309.6,1356,45.9,64,0
M,298.9,310.0,1456,43.8,15,0
L,302.6,312.1,1782,26.8,198,0
L,297.2,308.3,1656,30.3,124,0
L,302.6,311.9,1598,35.5,69,0
M,303.5,312.7,1402,47.0,23,0
M,298.5,309.0,1741,28.0,21,0
M,297.8,309.0,1434,43.3,96,0
H,299.1,309.4,1811,24.6,77,0
M,302.3,311.7,1494,37.1,114,0
L,304.4,313.6,1507,43.1,13,0
L,299.4,309.1,1464,40.5,215,0
M,301.6,310.6,1691,30.1,40,0
H,300.9,310.8,1390,40.6,131,0
L,302.6,311.9,1354,48.0,67,0
L,300.6,312.2,1308,54.7,52,0
H,302.4,310.1,1597,28.9,179,0
M,297.9,309.1,1614,38.1,62,0
M,300.1,311.4,1575,29.8,210,0
L,298.9,308.7,1729,26.6,73,0
M,300.5,311.4,1743,27.6,46,0
L,301.6,310.5,1593,34.5,102,0
L,297.9,308.8,1386,48.6,75,0
L,300.0,311.1,1425,47.8,179,0
M,298.7,309.8,1475,40.5,59,0
L,300.9,312.7,1416,43.8,112,0
L,299.2,308.5,1515,39.8,141,0
L,300.0,311.4,1483,45.6,187,0
H,297.0,307.9,1846,27.3,179,0
M,299.2,308.4,1529,43.0,50,0
M,303.4,312.7,1399,48.4,34,0
L,300.4,309.5,1711,29.2,215,0
L,298.9,310.3,1484,43.8,124,0
L,301.1,310.2,1496,43.4,54,0
L,301.0,310.8,1475,35.3,19,0
M,303.4,311.5,1560,36.4,114,0
L,301.4,310.8,1770,24.1,112,0
L,299.1,308.2,1568,33.3,123,0
L,298.1,308.0,1626,36.5,83,0
H,303.1,311.3,2056,19.7,167,0
L,303.7,312.3,1511,38.9,117,0
L,298.1,308.9,1367,41.9,113,0
H,298.1,308.5,1392,44.8,111,0
H,298.8,310.3,1708,27.1,78,0
L,298.3,309.6,1420,44.1,197,0
H,302.0,310.5,1459,43.2,148,0
L,299.5,309.3,1382,61.0,140,0
M,298.2,308.8,1456,41.2,150,0
L,297.6,309.5,1617,36.2,42,0
L,299.4,308.9,1440,42.5,87,0
L,297.5,309.2,1715,28.0,30,0
L,301.9,310.8,1465,44.3,57,0
L,302.1,311.2,1550,34.8,177,0
L,300.6,309.5,1437,40.0,55,0
L,300.2,311.7,1493,48.3,167,0
L,296.6,307.6,1498,41.1,80,0
M,295.8,306.6,1480,43.2,92,0
L,302.6,312.2,1377,45.5,54,0
L,300.4,309.8,1513,32.9,117,0
L,300.6,310.7,1440,52.5,200,0
H,302.4,311.6,1544,39.1,70,0
L,301.3,310.8,1432,54.4,51,0
H,298.6,309.1,1423,44.3,29,0
H,301.4,310.7,1516,36.4,83,0
M,302.9,311.1,1926,21.8,58,0
L,297.7,309.3,1559,36.9,145,0
M,300.2,311.3,1587,31.2,73,0
L,302.1,311.5,1444,44.9,97,0
L,300.6,310.3,1794,24.4,211,0
L,300.0,309.3,1558,29.7,168,0
L,300.4,310.4,1486,46.3,48,0
L,300.3,310.2,1369,48.8,36,0
M,300.7,310.8,1452,47.9,77,0
M,299.0,310.1,1487,47.5,123,0
M,298.4,308.2,1468,43.8,2,0
L,299.6,311.1,1679,30.7,129,0
L,298.9,309.9,1500,44.2,115,0
H,298.7,310.2,1613,36.0,0,0
L,301.1,312.2,1397,54.9,81,0
L,298.8,309.5,1368,44.7,147,0
L,300.3,311.8,1488,38.4,51,0
M,302.3,310.9,1360,44.0,67,2
L,301.3,311.0,1542,33.6,80,0
H,301.5,310.4,1580,35.7,161,0
L,299.7,309.4,1399,39.9,91,0
L,297.9,307.3,1502,36.7,12,0
L,298.7,309.7,1667,30.4,92,0
M,301.5,310.6,1447,41.9,140,0
L,296.2,307.3,1711,29.9,42,0
M,299.3,308.7,1289,51.5,185,0
M,299.1,310.1,1570,30.9,226,0
M,299.9,309.5,1372,56.2,133,0
L,297.5,308.8,1530,37.8,157,0
H,303.7,312.6,1711,27.6,170,0
M,298.3,308.3,1379,48.0,181,0
L,298.9,310.1,1523,39.1,53,0
L,302.4,311.5,1505,37.9,79,0
M,297.9,307.6,1519,44.0,37,0
L,303.0,312.6,1451,42.1,125,0
L,300.4,311.8,1367,57.2,10,0
M,303.7,312.9,1406,41.9,48,0
L,302.3,310.1,1388,49.9,48,0
M,301.7,309.9,1457,39.2,192,0
L,300.1,310.5,1500,39.8,107,0
L,300.2,311.5,1492,41.8,128,0
M,297.5,308.4,1596,36.6,80,0
L,303.6,311.8,1567,31.7,97,0
H,299.0,310.4,1677,30.8,73,0
M,302.4,310.4,1463,42.2,139,0
L,297.3,308.1,1506,36.0,150,0
M,299.1,308.7,2008,20.3,178,0
